$ docker buildx du
ID                           RECLAIMABLE   SIZE       LAST ACCESSED
lkgxnmaj2qqrxrmec94yrvpnl    true          32B*       23 hours ago
uuvjma06q0ws1dumgof1s9ve8    true          126B*      23 hours ago
6tbdhc189h2ktvq4rmz3xh5n1    true          4.163kB*   23 hours ago
8tx2leptxcfdcmqupw0yfgq5y*   true          8.192kB    3 days ago
jefw0bki4o6jboqn6rfi44o5t*   true          8.192kB    3 days ago
lz31mxi7jfogm00q4ham18oa6    true          8.192kB*   23 hours ago
tbynvms43f0i1suzxokantg7w    true          8.192kB    3 days ago
y6c73vlw97epagxb8v6cav91i*   true          8.192kB    23 hours ago
yy1l7t4t1801mjphwtnx1cc5f*   true          8.192kB    23 hours ago
37pbx3x3ksetnve7o2o56434n    true          8.272kB*   23 hours ago
lhkdomks11qwr1067fsywt716    true          8.285kB*   3 days ago
nekeuwzlom5qbrmc4bdxr5oun    true          12.45kB*   23 hours ago
6hb8gxstw2k7yce1vig2j82xf    true          12.48kB*   23 hours ago
rd0e1visp94q4n1iq3rud4k1b    true          12.64kB*   23 hours ago
qx2tej91m0vykx6qemr0nedck    true          16.38kB*   23 hours ago
hx6p5j0k8goy25qr7xg098vpr    true          16.51kB*   23 hours ago
gszeskmmj9i4o9g20e7s3kl8i    true          16.7kB*    23 hours ago
y1b0k8a70o37qirbdbcvpg15e    true          20.93kB*   3 days ago
r5lhur3uwd1pi4qlzwmmsd371    true          49.15kB*   23 hours ago
haw0qj0vaf8en2aqy334rz6uj    true          51.47kB*   3 days ago
x505zfhwpfx6fkdy9l3x6xz11*   true          69.63kB    23 hours ago
ga36wqx3dxku0asfpml5inh3e    true          73.73kB*   23 hours ago
nb1yyqihfn0tvtjmi05b3ofx3    true          73.73kB*   23 hours ago
z3bcii92uvsrgp8b308ufn8gw    true          98.69kB*   23 hours ago
xcdr5vveg7cnolxhr9r2mg11x    true          151.6kB    3 days ago
ilxw6qg0c1pvjqd2pza1xhg9j    true          184.3kB*   3 days ago
tab6mmcg44cmwkvx3qx835es6    true          191.8kB*   23 hours ago
en79ktnzr0g70mvm7v9iy961w    true          318.4kB*   3 days ago
3sc3p3kijyshbm74giz40efoe    true          462.8kB*   23 hours ago
i1i59zi3f1pr97a2xtjfpiac6*   true          471kB      3 days ago
490jft88zbayzy4gc36jtvw6c    true          475.1kB    3 days ago
euk3miqie845bm03klkkql78w    true          870kB*     23 hours ago
vgeksjyoh68ram5urvtzxdsy0    true          2.405MB*   23 hours ago
pjhy7puw1patnz80vhfg8g4xf    true          2.524MB*   23 hours ago
yu6bq5eglos0u9av3sakq1xsw    true          6.743MB*   3 days ago
o9su3ty4qaj69dtewzdtbggt4    true          9.869MB*   3 days ago
jx9xho8pj5waj5z1413vdtov8    true          12.97MB*   3 days ago
tg7e3u9t20dou65j9qyme12nu    true          15.9MB     23 hours ago
rcvjdl1x2rb4ld0lsfhxrjsdt    true          15.9MB*    23 hours ago
mgauyguw7w1km2u68cloh216h    true          15.94MB    23 hours ago
nhmi6ahdg6xq34dpwmrpdqlqu    true          15.94MB*   23 hours ago
aorn2py8jc875k9s7mkm3fyqc*   true          23.27MB*   23 hours ago
wbbdwqa6y8ewwt4oe6qnks4uy*   true          23.27MB*   23 hours ago
4brs9itg2upm6s468uagxzmp2    true          25.64MB*   23 hours ago
s4j4cdd2693vs81ya2jvd60yt    true          35.76MB    3 days ago
z515o5m8rev297pqzav7mwiqw    true          42.68MB    23 hours ago
ba2wywuvfhsl9ozq5bp8a3sky    true          49.38MB*   23 hours ago
18v9u65x1vz4bw0y37ncog0ci*   true          56.86MB    3 days ago
kspvbf59un061hb5qz96l9lvl*   true          57.24MB    23 hours ago
llci4x3gxoi3y99pu39nvwtdb    true          67.81MB*   23 hours ago
jpuus63j7ffhq3tq4x7tekrt2    true          71.08MB*   23 hours ago
m2c90sgk1fwgzxt37u8zcc09m    true          102.3MB*   23 hours ago
p859u98yn6tcuhrz808kvdm3c*   true          147MB      23 hours ago
sb2zh4ht6be7lyx5b152ndvrw    true          173.5MB*   3 days ago
tsfrtu63baymjq5z9sskzgval    true          320MB      3 days ago
3qezbcv0q14n71efcjzrmrmdc    true          440.4MB*   3 days ago
t4nkvspwxk9w0niopxo6x69pp    true          475.2MB    3 days ago
Shared:		1.045GB
