$ kubectl get namespaces --show-labels
NAME                   STATUS   AGE   LABELS
argo-rollouts          Active   33m   kubernetes.io/metadata.name=argo-rollouts
argocd                 Active   33m   kubernetes.io/metadata.name=argocd
cert-manager           Active   23h   kubernetes.io/metadata.name=cert-manager,name=cert-manager
default                Active   23h   kubernetes.io/metadata.name=default
envoy-gateway-system   Active   23h   kubernetes.io/metadata.name=envoy-gateway-system,name=envoy-gateway-system
escape-safe            Active   33m   kubernetes.io/metadata.name=escape-safe,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn=restricted
escape-vuln            Active   33m   kubernetes.io/metadata.name=escape-vuln,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=privileged
flux-system            Active   33m   kubernetes.io/metadata.name=flux-system
kube-node-lease        Active   23h   kubernetes.io/metadata.name=kube-node-lease
kube-public            Active   23h   kubernetes.io/metadata.name=kube-public
kube-system            Active   23h   kubernetes.io/metadata.name=kube-system
local-path-storage     Active   23h   kubernetes.io/metadata.name=local-path-storage
monitoring             Active   34m   app.kubernetes.io/part-of=tasklane,kubernetes.io/metadata.name=monitoring
netpol-demo            Active   33m   kubernetes.io/metadata.name=netpol-demo,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted
observability          Active   33m   app.kubernetes.io/part-of=tasklane,kubernetes.io/metadata.name=observability
psa-demo               Active   34m   kubernetes.io/metadata.name=psa-demo,pod-security.kubernetes.io/audit-version=v1.37,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn-version=v1.37,pod-security.kubernetes.io/warn=restricted
rbac-demo              Active   33m   kubernetes.io/metadata.name=rbac-demo,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted
signing-demo           Active   33m   kubernetes.io/metadata.name=signing-demo,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted
tasklane               Active   23h   app.kubernetes.io/part-of=tasklane,kubernetes.io/metadata.name=tasklane,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn=restricted
tasklane-basics        Active   34m   app.kubernetes.io/part-of=tasklane,kubernetes.io/metadata.name=tasklane-basics,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn=restricted
tasklane-dev           Active   34m   kubernetes.io/metadata.name=tasklane-dev,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn=restricted
tasklane-helm          Active   33m   kubernetes.io/metadata.name=tasklane-helm,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn=restricted
tasklane-prod          Active   34m   app.kubernetes.io/part-of=tasklane,kubernetes.io/metadata.name=tasklane-prod,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn=restricted,tasklane.example.com/gateway=tasklane
tasklane-staging       Active   34m   app.kubernetes.io/part-of=tasklane,kubernetes.io/metadata.name=tasklane-staging,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn=restricted,tasklane.example.com/gateway=tasklane
tasklane-system        Active   33m   app.kubernetes.io/name=tasklane-operator,app.kubernetes.io/part-of=tasklane,kubernetes.io/metadata.name=tasklane-system,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn=restricted
team-a                 Active   34m   kubernetes.io/metadata.name=team-a,pod-security.kubernetes.io/audit-version=v1.37,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn-version=v1.37,pod-security.kubernetes.io/warn=restricted,tenancy.example.com/tenant=team-a
troubleshoot           Active   33m   app.kubernetes.io/part-of=troubleshoot,kubernetes.io/metadata.name=troubleshoot,pod-security.kubernetes.io/audit=restricted,pod-security.kubernetes.io/enforce-version=v1.37,pod-security.kubernetes.io/enforce=restricted,pod-security.kubernetes.io/warn=restricted
velero                 Active   33m   kubernetes.io/metadata.name=velero
