$ kubectl -n tasklane get pods --show-labels
NAME                                   READY   STATUS        RESTARTS      AGE     LABELS
postgres-0                             1/1     Running       1 (98m ago)   23h     app.kubernetes.io/component=database,app.kubernetes.io/name=postgres,app.kubernetes.io/part-of=tasklane,apps.kubernetes.io/pod-index=0,controller-revision-hash=postgres-8584994777,statefulset.kubernetes.io/pod-name=postgres-0,topology.kubernetes.io/zone=zone-b
sched-anti-affinity-868d6cb8cc-5g2s4   0/1     Pending       0             6m8s    app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-anti-affinity,app.kubernetes.io/part-of=tasklane,pod-template-hash=868d6cb8cc
sched-anti-affinity-868d6cb8cc-fmlg9   1/1     Running       0             6m8s    app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-anti-affinity,app.kubernetes.io/part-of=tasklane,pod-template-hash=868d6cb8cc,topology.kubernetes.io/zone=zone-b
sched-anti-affinity-868d6cb8cc-r24ns   0/1     Pending       0             6m8s    app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-anti-affinity,app.kubernetes.io/part-of=tasklane,pod-template-hash=868d6cb8cc
sched-batch-566df5c77b-6ztql           1/1     Running       0             4m8s    app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-batch,app.kubernetes.io/part-of=tasklane,pod-template-hash=566df5c77b,topology.kubernetes.io/zone=zone-b
sched-batch-566df5c77b-k9zc9           1/1     Running       0             4m8s    app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-batch,app.kubernetes.io/part-of=tasklane,pod-template-hash=566df5c77b,topology.kubernetes.io/zone=zone-b
sched-node-affinity-5bffb9f8fc-8tcmh   1/1     Running       0             6m21s   app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-node-affinity,app.kubernetes.io/part-of=tasklane,pod-template-hash=5bffb9f8fc,topology.kubernetes.io/zone=zone-b
sched-node-affinity-5bffb9f8fc-jtvpm   1/1     Running       0             6m21s   app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-node-affinity,app.kubernetes.io/part-of=tasklane,pod-template-hash=5bffb9f8fc,topology.kubernetes.io/zone=zone-b
sched-node-affinity-5bffb9f8fc-mb6c2   1/1     Running       0             6m21s   app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-node-affinity,app.kubernetes.io/part-of=tasklane,pod-template-hash=5bffb9f8fc,topology.kubernetes.io/zone=zone-b
sched-node-affinity-5bffb9f8fc-snjdx   1/1     Running       0             6m21s   app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-node-affinity,app.kubernetes.io/part-of=tasklane,pod-template-hash=5bffb9f8fc,topology.kubernetes.io/zone=zone-b
sched-spread-5467d59fb6-s77vk          1/1     Running       0             5m39s   app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-spread,app.kubernetes.io/part-of=tasklane,pod-template-hash=5467d59fb6,topology.kubernetes.io/zone=zone-b
sched-spread-5467d59fb6-sfmln          0/1     Pending       0             5m39s   app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-spread,app.kubernetes.io/part-of=tasklane,pod-template-hash=5467d59fb6
sched-spread-5467d59fb6-sv9nv          0/1     Pending       0             5m39s   app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-spread,app.kubernetes.io/part-of=tasklane,pod-template-hash=5467d59fb6
sched-spread-5467d59fb6-t9n76          0/1     Pending       0             5m39s   app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-spread,app.kubernetes.io/part-of=tasklane,pod-template-hash=5467d59fb6
sched-toleration-85f76767b-5psbl       1/1     Running       0             5m44s   app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-toleration,app.kubernetes.io/part-of=tasklane,pod-template-hash=85f76767b,topology.kubernetes.io/zone=zone-b
sched-toleration-85f76767b-p2knn       1/1     Running       0             5m44s   app.kubernetes.io/component=demo,app.kubernetes.io/name=sched-toleration,app.kubernetes.io/part-of=tasklane,pod-template-hash=85f76767b,topology.kubernetes.io/zone=zone-b
tasklane-api-86876d58cf-4dp97          1/1     Terminating   0             62m     app.kubernetes.io/component=api,app.kubernetes.io/name=tasklane-api,app.kubernetes.io/part-of=tasklane,pod-template-hash=86876d58cf,topology.kubernetes.io/zone=zone-a
tasklane-api-86876d58cf-9jxxr          1/1     Running       0             11m     app.kubernetes.io/component=api,app.kubernetes.io/name=tasklane-api,app.kubernetes.io/part-of=tasklane,pod-template-hash=86876d58cf,topology.kubernetes.io/zone=zone-b
tasklane-api-86876d58cf-vlxfp          1/1     Running       0             62m     app.kubernetes.io/component=api,app.kubernetes.io/name=tasklane-api,app.kubernetes.io/part-of=tasklane,pod-template-hash=86876d58cf,topology.kubernetes.io/zone=zone-b
tasklane-worker-cc4f995df-8lbcl        1/1     Running       1 (98m ago)   23h     app.kubernetes.io/component=worker,app.kubernetes.io/name=tasklane-worker,app.kubernetes.io/part-of=tasklane,pod-template-hash=cc4f995df,topology.kubernetes.io/zone=zone-b
tasklane-worker-cc4f995df-c55hs        1/1     Terminating   1 (98m ago)   23h     app.kubernetes.io/component=worker,app.kubernetes.io/name=tasklane-worker,app.kubernetes.io/part-of=tasklane,pod-template-hash=cc4f995df,topology.kubernetes.io/zone=zone-a
tasklane-worker-cc4f995df-rfjkc        1/1     Running       0             11m     app.kubernetes.io/component=worker,app.kubernetes.io/name=tasklane-worker,app.kubernetes.io/part-of=tasklane,pod-template-hash=cc4f995df,topology.kubernetes.io/zone=zone-b
